title,info,file,expires,tags,usage,country
Lortama Herbicide,"Lortama, Herbicide - Turkey",TR_Lortama_pkg_txt_tr_pms.eps,Never,"Turkey, Lortama, Herbisit, Turkish, Herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Turkey
Lontrel 600 Herbicide,"Lontrel 600, Herbicide - Turkey",TR_Lontrel_600_pkg_txt_tr_pms.eps,Never,"Turkey, Lontrel 600, Herbisit, Turkish, Herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Turkey
Lontrel 600 Herbicide,"Lontrel 600, Herbicide - Turkey",TR_Lontrel_600_pkg_bdg_tr_pms.eps,Never,"Turkey, Lontrel 600, Herbisit, Turkish, Herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Turkey
Vetavine Core Fungicide,"Vetavine™ Core, FUNGICIDE - Greece",GR_Vetavine_Core_pkg_txt_el_pms.eps,Never,"Greek, Vetavine™ Core, ΜΥΚΗΤΟΚΤΟΝΟ, Greece, FUNGICIDE","Black, PMS 513 C Purple, PMS 285 C Blue",Greece
Vetavine Core Fungicide,"Vetavine™ Core, FUNGICIDE - Greece",GR_Vetavine_Core_pkg_bdg_el_pms.eps,Never,"Greek, Vetavine™ Core, ΜΥΚΗΤΟΚΤΟΝΟ, Greece, FUNGICIDE","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Greece
Vivolt SL Adjuvant,"Vivolt® SL, ADJUVANT - Greece, Cyprus",CY_GR_Vivolt_SL_pkg_bdg_el_pms.eps,Never,"Greece, Cyprus, Vivolt® SL, ΕΠΙΦΑΝΕΙΟΔΡΑΣΤΙΚΟ Greek, ADJUVANT","Black, PMS 214 C Pink, PMS 708 C Pink, PMS 285 C Blue",Greece
Vivolt SL Adjuvant,"Vivolt® SL, ADJUVANT - Greece, Cyprus",CY_GR_Vivolt_SL_pkg_txt_el_pms.eps,Never,"Greece, Cyprus, Vivolt® SL, ΕΠΙΦΑΝΕΙΟΔΡΑΣΤΙΚΟ Greek, ADJUVANT","Black, PMS 214 C Pink, PMS 285 C Blue",Greece
Static,"Static® GR, INSECTICIDE - Greece, Cyprus",CY_GR_Static_GR_pkg_txt_el_pms.eps,Never,"Greece, Cyprus, Static® GR, ΕΝΤΟΜΟΚΤΟΝΟ, Greek, INSECTICIDE","Black, PMS 285 C Blue, PMS 1525 C Orange",Greece
Static,"Static® GR, INSECTICIDE - Greece, Cyprus",CY_GR_Static_GR_pkg_bdg_el_pms.eps,Never,"Greece, Cyprus, Static® GR, ΕΝΤΟΜΟΚΤΟΝΟ, Greek, INSECTICIDE","Black, PMS 285 C Blue, PMS 1525 C Orange, PMS 1495 C Orange",Greece
Trezac Duo HERBICIDE,"TREZAC™ DUO, HERBICIDE - Spain",ES_Trezac_Duo_Arylex_active_pkg_txt_es_pms.eps,Never,"SPAIN, TREZAC™ DUO, HERBICIDA, Arylex™ active, SPANISH, Herbicide","Black, PMS 285 C Blue, PMS 361 C Green",
Trezac Duo HERBICIDE,"TREZAC™ DUO, HERBICIDE - Spain",ES_Trezac_Duo_Arylex_active_pkg_bdg_es_pms.eps,Never,"SPAIN, TREZAC™ DUO, HERBICIDA, Arylex™ active, SPANISH, Herbicide","Black, PMS 285 C Blue, PMS 361 C Green, PMS 376 C Green",
Balaya + Talius 2 Pack FUNGICIDE,Balaya + Talius,DE-AT_Balaya_+_Talius_2_Pack_pkg_txt_de_pms.eps,Never,"Germany, Balaya + Talius 2 Pack, Fungizid, Revisol, Proquinazid, German, Fungicide.","PMS 513 C Purple, PMS 285 C Blue, Black",Germany
Balaya + Talius 2 Pack FUNGICIDE,Balaya + Talius,DE-AT_Balaya_+_Talius_2_Pack_pkg_bdg_de_pms.eps,Never,"Germany, Balaya + Talius 2 Pack, Fungizid, Revisol, Proquinazid, German, Fungicide.","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Germany
Trend 90 ADJUVANT,"Trend 90, ADJUVANT - Spain",ES_Trend_90_pkg bdg_es_pms.eps,Never,"Spain, Trend 90, MOJANTE, SPANISH, Adjuvant","PMS 214 C Pink, PMS 708 C Pink, PMS 285 C Blue, Black",Spain
