title,info,file,expires,tags,usage,country,product_category
Zorvec Enicade Nzeb fungicide,Zorvec Enicade Nzeb,RO_Zorvec_Enicade_Nzeb_pkg_bdg_ro_pms.eps,Never,"Romania, Zorvec Enicade Nzeb, fungicid, Romanian, fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Romania,Fungicide
Pixxaro EC Herbicide Arylex active,Pixxaro EC Herbicide Arylex active,US_Pixxaro_EC_with_Arylex_active_pkg_bdg_en_pms.eps,Never,"United States, Pixxaro EC Herbicide, Arylex active, English, Herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",United States,Herbicide
GameOn Specialty Herbicide,GameOn Specialty Herbicide,US_GameOn_Arylex_active_pkg_bdg_en_pms.eps,Never,"United States, GameOn Specialty Herbicide, English, specialty herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",United States,Herbicide
Belkar® HERBICIDE,Belkar® HERBICIDE- Spain,ES_Belkar_Arylex_active_pkg_bdg_es_pms.eps,Never,"SPAIN, BELKAR®, HERBICIDA, Arylex™ active, SPANISH, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Spain,Herbicide
Luoxyl Super Herbicide,Luoxyl Super,BE_Luoxyl_Super_pkg_bdg_fr_pms.eps,Never,"Belgium, Luoxyl Super, Herbicide, Triclopyr, Aminopyralid, French, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Belgium,Herbicide
"Enlist 1, herbicide","Enlist™ 1, herbicide",CA_Enlist_1_with_Colex-D_Technology_avec_la_technologie_Colex-D_pkg_bdg_en_pms.eps,Never,"Canada, Enlist™ 1, Herbicide, Colex-D™ technology, English, Herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",Canada,Herbicide
Forefront Pro Herbicide,Forefront Pro,GB_Forefront_Pro_pkg_bdg_en_pms.eps,Never,"U.K, Forefront Pro, Herbicide, Aminopyralid, Fluroxypyr, English, Herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",United Kingdom,Herbicide
Entrust Organic Insecticide,Entrust Organic Insecticide,AU_Entrust_Organic_pkg_bdg_en_pms.eps,Never,"English, Entrust Organic Insecticide, Australia","Black, PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue",Australia,Insecticide
Zorvec Zelavin Bria Fungicide,Zorvec Zelavin Bria,HU_ZORVEC_Zelavin_Bria_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Zelavin Bria, gombaölő szer, Hungarian, Fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Hungary,Fungicide
Zorvec Enicade Nzeb Fungicide,Zorvec Enicade Nzeb,HU_Zorvec_Enicade_Nzeb_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Enicade Nzeb, gombaölő szer, Hungarian, Fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Hungary,Fungicide
"EQUATION PRO, FUNGICIDE","EQUATION PRO 80G, FUNGICIDE, KENYA",KE_EQUATION_PRO_pkg_bdg_en_pms.eps,Never,"EQUATION PRO 80G, FUNGICIDE, KENYA","PMS 513 C Purple, PMS 514 C Purple",Kenya,Fungicide
Vitelent 10 SL Nematocide,"Vitelent™ 10 SL, NEMATOCIDE - Greece",GR_Vitelent_10SL_pkg_bdg_el_pms.eps,Never,"Greece, Vitelent™ 10 SL, ΝΗΜΑΤΩΔΟΚΤΟΝΟ Greek, Nematocide","Black, PMS 731 C Brown, PMS 4645 C Brown, PMS 285 C Blue",Greece,
"Aproach Power, fungicide",Fungicida Aproach Power com Onmira active,PY_Aproach_Power_pkg_bdg_es_pms.eps,Never,Paraguay Aproach Power Onmira active portuguese fungicide,"Black, PMS 519 C Purple, PMS 514 C Purple, PMS 285 C Blue",Paraguay,Fungicide
Falkon,Falkon,DE_Falkon_pkg_bdg_de_pms.eps,Never,"Germany, Falkon, Herbizid, Penoxsulam, Diflufenicanil, German, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Germany,Herbicide
Vydate SL Insecticie,Vydate SL Insecticie,TN_Vydate_SL_bilingual_pkg_txt_fr-ar_pms.eps,Never,Tunisia; NEMATICIDE; FRENCH & ARABIC; Vydate; SL; SL;,"Black, PMS 731 C Brown, PMS 285 C Blue",Tunisia,Nematicide
Vydate 10G Nematicide,Vydate 10G Nematicide,TN_Vydate_10G_bilingual_pkg_txt_fr-ar_pms.eps,Never,Tunisia; NEMATICIDE; FRENCH & ARABIC; Vydate; 10G; 10G;,"Black, PMS 731 C Brown, PMS 285 C Blue",Tunisia,Nematicide
