title,info,file,expires,tags,usage,country,product_category
"N-LOCK MAX, nitrogen stabilizer","N-Lock Max, NITROGEN STABILIZER - Bulgaria",BG_N-LOCK_MAX_Optinyte_technology_pkg_txt_bg_pms.eps,Never,"BULGARIA, N-Лок™ Макс, Азотен Стабилизатор, Optinyte™ technology, BULGARIAN, nitrogen stabilizer,","Black, PMS 7466 C Blue, PMS 285 C Blue",Bulgaria,Nitrogen Stabilizer
"KORVETO, herbicide","Korveto, HERBICIDE - Bulgaria",BG_KORVETO_Arylex_active_pkg_txt_bg_pms.eps,Never,"BULGARIA, Корвето™, ХЕРБИЦИД , Arylex™ active, BULGARIAN, herbicide","Black, PMS 361 C Green, PMS 285 C Blue",Bulgaria,Herbicide
"BELKAR EC, herbicide","Belkar EC, HERBICIDE - Bulgaria",BG_BELKAR_EC_Arylex_active_pkg_bdg_bg_pms.eps,Never,"BULGARIA, Белкар™ ЕК, ХЕРБИЦИД , Arylex™ active, BULGARIAN, herbicide,","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Bulgaria,Herbicide
"DITHANETM M-45 800 WP NT, FUNGICIDE",DITHANETM M-45 800 WP NT,ZA_DITHANE M-45_800 WP NT_pkg txt_en_pms.eps,Never,"DITHANETM M-45 800 WP NT, English, south Africa","PMS 513 C Purple, PMS 285 C Blue, Black",South Africa,Fungicide
ES_Instinct_Optinyte_technology_pkg_bdg_es_pms.eps,"Instinct, Nitrogen Stabilizer - Spain",ES_Instinct_Optinyte_technology_pkg_bdg_es_pms.eps,Never,"SPANISH, Instinct, ESTABILIZADOR DEL NITROGENO, Optinyte technology, SPANISH, Nitrogen Stabilizer","PMS 322C Blue, PMS 3262C Blue, PMS 285C Blue, Black",,Nitrogen Stabilizer
Merit Extra Herbicide,Мерит™ Экстра,KZ_Merit_Extra_WG_bilingual_Arylex_active_pkg_txt_ru_pms.eps,Never,Kazakhstan Мерит™ Экстра Гербицид Russian Herbicide,"Black, PMS 361 C Green, PMS 285 C Blue",Russia,Herbicide
Helianthex Herbicide,Хелиантекс™ Гербицид,KZ_Helianthex_SC_Arylex_active_bilingual_pkg_bdg_ru_pms.eps,Never,Kazakhstan Хелиантекс™ Гербицид Russian Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Russia,Herbicide
Baxaiga Herbicide,Баксига™,KZ_Baxaiga_OD_Rinskor_active_bilingual_pkg_bdg_ru_pms.eps,Never,Kazakhstan Баксига™ Гербицид Russian Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Russia,Herbicide
Slash Herbicide,Слаш™ Гербицид,"BY_Slash_125,_EC_Arylex_active_bilingual_pkg_bdg_ru_pms.eps",Never,Belarus Слаш™ Гербицид Belorussian Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Russia,Herbicide
Prima Herbicide,Прима™ Гербицид,BY_Prima_SE_bilingual_pkg_bdg_ru_pms.eps,Never,Belarus Прима™ Гербицид Belorussian Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Russia,Herbicide
Belkar Herbicide,Белкар™ Гербицид,BY_Belkar_58_EC_Arylex_active_bilingual_pkg_bdg_ru_pms.eps,Never,Belarus Белкар™ Гербицид Belorussian Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Russia,Herbicide
Trivaldi Herbicide,Тривальди™ Гербицид,"BY_Trivaldi_519,_EC_bilingual_pkg_txt_ru_pms.eps",Never,Belarus Тривальди™ Гербицид Belorussian Herbicide,"Black, PMS 361 C Green, PMS 285 C Blue",Russia,Herbicide
Pallas Extra Herbicide,Паллас™ Экстра Гербицид,BY_Pallas_Extra_317_WG_Arylex_active_bilingual_pkg_bdg_ru_pms.eps,Never,Belarus Паллас™ Экстра Гербицид Belorussian Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Russia,Herbicide
Mattera Herbicide,Маттера™ Гербицид,BY_Mattera_WG_Arylex_active_bilingual_pkg_txt_ru_pms.eps,Never,Belarus Маттера™ Гербицид Belorussian Herbicide,"Black, PMS 361 C Green, PMS 285 C Blue",Russia,Herbicide
Fixit Herbicide,Фиксит™ Гербицид,BY_Fixit_SC_bilingual_pkg_bdg_ru_pms.eps,Never,Belarus Фиксит™ Гербицид Belorussian Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Russia,Herbicide
Exhilarate herbicide,"Exhilarate™, herbicide, Arylex™ active",CA_Exhilarate_with_Arylex_active_avec_l_actif_Arylex_pkg_bdg_en_pms.eps,Never,"Canada, Exhilarate™, herbicide, Arylex™ active, bilingual, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Canada,Herbicide
Látigo L,LátigoTM-L (Lambda Cihalotrina + Clorpirifos etil),MX_La?tigo_L_pkg_bdg_es_pms.eps,Never,"Mexico, Látigo™ L, insecticida, Spanish, insecticide","Black, PMS 158 C Orange, PMS 1495 C Orange, PMS 285 C Blue",Mexico,Insecticide
Tracer Insecticide,Tracer,GB_Tracer_pkg_bdg_en_pms.eps,Never,"U.K , Tracer, Insecticide, Spinosad , Insecticide","Black, PMS 158 C Orange, PMS 1495 C Orange, PMS 285 C Blue",United Kingdom,Insecticide
